m_id,c_id,type,last_mileage,date_serviced,cost,description
1,1,car,100,2019-04-04,$200,Test
3,29,"Tire rotation/replacement",4455,2019-04-20,4859,test
4,30,General,40000,2019-04-24,50.75,"Replaced air filters"
120,66,"tire change",81112,2018-01-26,$465.24,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
156,65,"oil change",75722,2018-12-29,$763.86,"Cras in purus eu magna vulputate luctus."
162,55,"oil change",410,2017-10-03,$566.66,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
206,73,"oil change",15030,2018-08-12,$737.96,"Sed sagittis."
262,41,"oil change",16736,2017-12-15,$508.14,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue."
264,99,"tire change",97816,2017-08-25,$768.97,"Aenean sit amet justo. Morbi ut odio."
280,67,"engine repair",58624,2018-07-31,$582.78,"Nunc purus. Phasellus in felis."
293,51,"tire change",89845,2018-12-03,$448.73,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst."
366,38,"oil change",78438,2017-06-07,$988.64,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
462,61,"engine repair",74675,2018-12-09,$930.80,"Duis aliquam convallis nunc."
463,40,"engine repair",80997,2017-10-19,$371.15,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
514,59,"tire change",25441,2017-09-18,$525.10,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo."
522,42,"oil change",42193,2018-01-28,$596.34,"Nulla justo."
551,36,"oil change",72421,2017-11-23,$824.06,"Integer a nibh."
571,82,"engine repair",98121,2018-02-06,$834.80,"Phasellus in felis. Donec semper sapien a libero."
573,45,"tire change",90297,2018-12-14,$569.26,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
586,89,"tire change",86958,2019-04-02,$551.34,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
595,79,"engine repair",32621,2017-10-13,$374.23,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
670,96,"tire change",61607,2017-08-08,$908.04,"In congue."
683,97,"tire change",14904,2018-10-07,$758.10,"Integer non velit."
708,52,"tire change",38514,2017-07-30,$990.34,"Nulla suscipit ligula in lacus."
788,69,"engine repair",5921,2017-09-04,$270.94,"Pellentesque eget nunc."
896,53,"oil change",12170,2017-05-12,$570.14,"Nulla facilisi."
956,94,"tire change",93491,2017-10-11,$919.04,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
980,71,"tire change",64005,2018-02-03,$477.50,"Phasellus sit amet erat."
981,30,"Oil change",30000,2019-05-05,50.00,descript
